Stack, Frequency
 ,3113817
ཧཱུྃ,231238
~,33403
·,12878
¶,12875
ཧཱུྂ,12191
+,10881
ཊ྄,8322
རྻ,8161
བྷྲཱུྃ,7441
བྃ,7116
པ྄,5632
་ོ,5181
ས྄,4867
Ã,4744
®,4667
རྃ,4426
ཏ྄,4305
མ྄,3633
ཧུྃ,3314
༔༙,3294
ཧྃ,3180
.,3003
ན྄,2949
&,2763
་ྃ,2651
པྃ,2646
ཨྃ,2639
ཡྃ,2521
#,2335
!,2330
ཁྃ,2300
རྺ,2287
<,2282
>,2262
སྃ,2244
ཨཱོྃ,2118
{,1993
ཀ྄,1943
ད྄,1809
-,1713
མྃ,1691
ནཱྃ,1595
ཏཱྃ,1579
ལྃ,1559
ར྄,1540
ཏྲཱྃ,1411
བ྄,1297
（,1231
）,1230
༁ྃ,1228
《,1122
》,1119
ང྄,1099
ཝྃ,1024
ཊྭཱྃ,1015
ཨོྃ,971
ཙ྄,958
…,906
ནྃ,867
ཎ྄,836
ཨཱྃ,809
ཡ྄,798
ཉ྄,786
ཀྃ,784
_,756
དྃ,748
ཏྃ,741
མཱྃ,738
ཥ྄,721
},689
ཛྃ,657
ཧ྄,615
ཎཱྃ,602
གྃ,598
),587
རྻཱ,583
བྷྲུྃ,581
སྟྭྃ,578
ཤྃ,569
M,531
ཏྲྃ,523
ཛ྄,511
ཤ྄,469
:,466
],466
[,457
སུྃ,449
ཪྻ,448
་྄,400
ཐྃ,383
(,360
་ི,353
∶,351
།ོ,335
།ྃ,334
,329
།ཾ,318
ལཱྃ,316
ཙྃ,302
Á,293
¨,281
མུྃ,278
བྂ,277
ཧཱྃ,272
î,263
ì,262
©,261
ཌ྄,252
་ེ,248
ྈྐ,245
སྟྃ,240
ཌྃ,216
མཱུྃ,208
པཱྃ,200
ག྄,195
ྉྥ,188
དྷ྄,188
ཨོྂ,188
པྲྃ,177
ཕ྄,174
ྈྐིོིཽཾ,173
དྷ྄ཱི,173
ཏྭྃ,172
གྷྃ,170
་ུ,168
ཪྺ,168
?,163
ངྃ,161
༩ིེྀིིཾཾཾཾ,160
རྒྷྃ,157
བྷཱུྃ,152
གྷྲྃ,150
བྲུྃ,143
དྷྃ,141
❀,138
ཏྲཱུྃ,134
ཊྃ,130
ལ྄,129
ལྎ,125
སྎ,125
བྷྃ,120
རྻཾ,118
ཎྃ,118
དྲཱུྃ,111
ཧྲིྃ,110
༑ྃ,109
|,105
ྉྤ,104
ཧྂ,104
ཀྵྃ,103
།ེ,103
H,101
ཌྷ྄,101
ཏྲུྃ,100
་ཾ,96
ཨྠྀི,95
གྷ྄,93
།ི,92
ཡྻ,91
ཚ྄,91
ཥྚྃ,91
ཤཱྃ,89
Ó,86
ཊྭྃ,86
ནྟིྃ,84
བཱྃ,83
ཅྡོྃ,83
ལྀཾ,81
ཡུྃ,80
ཧྲཱིྃ,79
ཀྵྼ,79
རྀཾ,77
སིྃ,77
ལིྃ,77
དྷྭྃ,77
×,76
ཊཱྃ,75
པྂ,74
ཀུྃ,72
དྷྱྃ,69
ཪྻཱ,69
ཏྱྃ,67
རྂ,65
ཨྂ,64
ལྂ,63
ཨུྃ,62
རཱྀཾ,61
རཱྃ,61
ཕེྃ,61
རྻེ,60
ཀྵྨཱྃ,60
ཏྭཱྃ,60
ཥྚཱྃ,60
འྎི,60
ཪྻཾ,58
ལཱྀཾ,57
ནྎ,57
ཀྵུྃ,56
,56
/,55
ཧྲྃ,54
བྷྱྃ,53
བྷ྄,53
´,52
ཧྲྀཾ,52
O,52
ཧྲཱྃ,49
ཀཱྃ,49
ཥྃ,49
ཪྻྻ,49
རྦྃ,49
ཏུྃ,49
༁ྭྃ,49
ངྎ,49
གྷུྃ,48
དྱྃ,47
ཨཱུྃ,46
བུྃ,46
ཕྃ,46
ཕྲུྃ,45
གྲྃ,45
ཏིྃ,44
ཀྲུྃ,43
ཁྂ,43
རྣྃ,43
བྲཱུྃ,42
དྲུྃ,42
རྎ,42
དུྃ,41
ཥྤྃ,41
＜,41
＞,41
སྂ,39
ཛཱྃ,39
སྭཱྃ,39
ཛྲྃ,39
ཡྂ,38
དྷཱྃ,38
རུྃ,37
ཀྲྃ,37
༈ོ,36
à,36
རྦྦྃ,36
ཥྚོྃ,36
དྡྷྃ,36
ཛྲཱིྃ,36
 ,35
ཀིྃ,35
ཥྚིྃ,35
ཧྭཱྃ,34
ཨཱྂ,34
ཐ྄,33
མྂ,33
ཕུྃ,32
ཧ྄ཱུཾ,32
ཙུྃ,32
ཝ྄,32
རྻྻ,32
ཏཱྂ,32
རྻཻ,32
བྷྲཱུྂ,31
རྻུ,31
བྲྃ,31
དེྃ,31
་ྶྀ,31
ཡོྃ,30
ཧྲཱྀཾ,30
བྎ,30
ཀྵྼཱྀ,29
རྒྷ྄ཾ,29
དྡྷིྃ,29
བྷྲྀཾ,28
:ི,28
སྭྃ,28
ཐུྃ,28
ཧཱིྃ,28
ཧིྃ,28
ཙྖྒ྄ཻ,28
 ྃ,27
ཛྲཱྃ,27
ཀ྄ི,27
ཀྵྼྀ,27
ཧླྀཾ,27
ྈྐཱ,27
§ོ,27
སྲུྃ,27
ཀྱྎི,27
ཧྐྵྨླྺྼྻྂ,26
໋,26
ཀྶྃ,25
ཏྂ,25
པིྃ,25
ཕྲེྃ,25
འུྃ,25
པྎོ,25
སྐྃ,24
༴ི,24
རྻོ,24
ཝྺ,24
དཱྃ,24
ཛྙཽྃ,24
',23
ཚྃ,23
ཌྷྃ,23
འིྃ,23
É,23
n,23
ཀྂ,23
ཋྃ,22
ཁ྄,22
ཉྃ,22
ཛྙཱྃ,22
ཛྷྃ,22
བྷུྃ,22
ཧྼྀ,22
ནྡྷྃ,22
མིྃ,22
ཏྟྃ,22
ཧྲོྃ,22
ཧྲཽྃ,22
ཛྲིྃ,22
གྎ,22
མྎ,22
