Stack, Frequency
 ,1490061
ཧཱུྃ,2274
་ི,329
་ོ,201
ཨོྃ,146
་ེ,131
 ོ,129
རྻ,116
་ྟ,114
་ྣ,96
བྃ,78
་ུ,73
།ོ,58
ཨཱོྃ,57
 ི,54
་ྡ,47
་ྲ,41
་ཱ,30
་ཾ,30
་ྫ,30
ས྄,28
ཧཱྃ,28
་ྂ,24
 ེ,24
་ྱ,22
༈༙,20
།ི,20
ཏ྄,20
 ཾ,20
་ྩ,18
 ༷,18
་ྲི,18
།ེ,18
་ོི,17
་ཻ,14
་ྷ,14
 ུ,13
 ཱ,12
་ླ,12
ཧཱུྂ,12
 ྃ,12
་ྙ,11
་ྤ,11
་ྃ,11
་ྭ,10
ཝ྄,10
།ྟ,10
།ཱ,9
ཝྃ,9
།ྱ,8
།ུ,7
་ྒུ,7
་ྗ,7
ཨྃ,6
།ྗ,6
 ྂ,6
་ེི,6
ཡྻ,6
མྺཱ,6
་ྔ,5
་ྕ,4
་ྱི,4
།ྣ,4
།ཾ,4
ཡྻཱ,4
 ཻ,4
 ྣ,3
༢ི,3
ཪྻ,3
ཡྻུ,3
ཛ྄,3
ལ྄,3
༢ེ,2
ཉ྄,2
།ེི,2
།ྲ,2
་ེ༷,2
་ྒ,2
༈ི,2
༈ོ,2
།ྒུ,2
ཿོ,2
 ྨ,2
།ྡ,2
 ྐ,2
་ྤུ,2
ཡ྄,2
།ྃ,2
 ེ༷,1
་ྐ,1
༨ོ,1
༤ོ,1
 ྟ,1
༥ི,1
༥ོ,1
༨ི,1
ཀྱི༷,1
གྂ,1
ནི༷,1
་ྐོ,1
།ྤ,1
་ྐེ,1
་ྤི,1
༈ྣ,1
 ྷ,1
་ྗི,1
།ཽ,1
 ཽ,1
་ོུ,1
།ླ,1
།ྙ,1
 ྤ,1
་ྐི,1
ང྄,1
།ིི,1
༄ུ,1
 ྴ,1
༑ེ,1
 ྀ,1
ཡྻེ,1
ཡཱྃ,1
འྀི,1
་ྱོ,1
་ྜ,1
 ླ,1
ཡྻོ,1
་ྤོ,1
༔ོ,1
།ིིོ,1
་ྦ,1
ཿི,1
་ེོ,1
༜ོ,1
་ྨ,1
་ིི,1
༑ྂ,1
