Stack, Frequency
༄,30851
༅,27340
།,23939803
བ,23673386
རྟ,506971
ག,25875700
་,185702846
པ,19207054
ཉི,2450205
ས,36278900
འི,8421788
སྡུ,358481
དོ,2026019
ན,21356733
རྗེ,1029878
ཙུ,142034
གྱི,2173713
མ,18137214
ཛ,395745
ད,25627656
ལ,13146218
ཎ,43813
ཅུ,502134
ང,21934861
ཟ,716743
ཅོ,411164
ཞུ,525808
སོ,2205452
ཀྱེ,31782
རྡོ,550220
ཕྱ,368159
འ,11030863
ཚ,1094731
ལོ,672490
ཀྱི,3197379
ཅ,1948239
རྒྱུ,827518
རྒྱ,1878196
པོ,2592876
དི,1108629
ཏེ,1151318
གླེ,28378
ཞི,2538334
ཕུ,281412
སུ,2774640
ཚོ,800343
ཚུ,528518
ལུ,667248
རྣ,2142603
ར,14762891
ཞ,1070618
ཤ,768758
ཆོ,1717445
ཡ,1955905
བྱེ,1192285
འོ,1599738
ངོ,1138426
རྟོ,472493
དུ,3961760
བྱ,2460609
རྩ,386529
སྔ,595030
མི,2084218
ཁ,1085447
སྐོ,156240
ཕྱི,1307533
ཐོ,979105
སྒྲུ,427829
བྲ,600701
བུ,1405441
 ,3113817
དེ,4425121
ཏུ,991434
གྲོ,678471
ཐ,1834075
ཉ,537809
ལེ,446382
རྟེ,469343
སྨི,92071
པཽ,394
༑,95849
སྐུ,611135
ངེ,329096
ཚི,344167
ཤི,635504
སྟ,558546
ཐུ,781034
མོ,878751
གི,1592962
ཧེ,52608
རུ,379774
ཀ,810773
ལྟ,1324808
སྟེ,960320
ཆི,191683
ཇི,599126
ལྷ,676952
ཅི,1432608
སྐྱེ,888435
ཡེ,460279
ཤེ,1388524
འུ,130483
སྒོ,526820
ཁོ,879955
ཆུ,698689
སེ,1252074
སྡོ,130556
ཡི,2298839
གེ,599026
བྷ,63059
རྩི,151901
སྙི,296342
རླུ,151202
ནོ,600652
ཙོ,131064
བོ,739313
ཀྱ,681077
སྤྱི,192403
ཀུ,650721
རྫོ,336794
གྲ,384924
སྐ,522336
སྡེ,139627
གྲུ,598833
ལྔ,408467
ཆ,840539
ཏོ,410785
བྲེ,140966
ཟླ,280871
བྱི,417936
རླ,154766
སྦྱ,222954
སྦྱི,154280
སྲེ,99227
ཟུ,533677
དྲུ,286194
ཛྲ,129674
བྲུ,60364
ཁྱ,362657
ཁྱེ,234565
ཀྲུ,30184
བྱོ,298919
རེ,353807
གྲི,111191
གུ,339863
རི,1379447
ཀྱིིི,1
སྐྱུ,13341
མྱོ,71736
རྐུ,16009
གླ,44016
བྲོ,22070
དྲ,472325
དྲོ,37475
ཡོ,1148806
སྤྱོ,306825
རྡ,48323
བྲི,128432
མེ,1808966
རོ,690901
སྲུ,133616
གོ,1068267
གྱུ,1081445
སྤྱ,148958
བྱུ,741162
ཕ,651056
ཞེ,1568551
ནི,2491172
སྦྱོ,260656
སྣ,633431
སྟོ,791266
ཇུ,282967
ལྡ,634355
རྗོ,295606
རྐ,69882
སྒྱུ,147336
ཏ,718609
སྔོ,226596
གླུ,26054
སྤ,180608
ཊྭཱཾ,5537
སློ,355701
སླ,177389
ཟི,205286
སྙུ,4425
རྐྱེ,99740
ཕྱོ,278895
པེ,133930
ཕྱེ,123048
ཀླ,22001
ཉེ,383391
བླ,437418
གློ,32240
རྡུ,65475
ཙ,441490
ཐེ,194294
སྤྲོ,117443
དྲི,248247
ཐི,190549
སྙེ,126885
ཆེ,1330782
ལྟོ,69956
ངཻ,49
སྒྲི,105905
ཉོ,128289
རྩོ,140398
སྐྱོ,193359
སྲི,236399
སི,73440
ནྟ,13138
ཪྠ,85
པྟ,5339
༈,54247
རྫ,122700
ཛི,469188
ངུ,47655
ནུ,274147
སྤྲུ,103120
ཟློ,90025
སྦོ,14683
ཡུ,454386
སྒྲ,212927
སྒཽ,183
སྙོ,67778
ཁྲུ,165123
རྙེ,75880
ཕྲི,78545
སྤྱིི,90
དྨ,123381
སྨོ,101871
༼,98580
༽,117156
ཕྲེ,77070
རྙ,33774
བློ,195473
ཟོ,103483
ཛོ,98277
ཤོ,123390
དྭེ,500
ཥ,13914
ཉུ,30231
མུ,142225
ཕྱུ,94024
སྤེ,31631
ཇ,110457
ཟེ,224448
ཀྲ,79173
ཕྲོ,109830
སྦྲ,17422
སྙ,205119
དྲེ,119904
ཁྲི,170380
སྲ,100771
ཤུ,114854
ཀོ,153665
ཞོ,85503
སྲོ,116287
ཀླུ,69455
ཛེ,57094
ཎྜི,14678
པུ,88116
ཎྱ,1121
ཤྲཱི,21792
ཏྲཱ,2398
རྩེ,164180
རྟུ,23581
སྐྱ,122693
མྱ,103805
སྡ,60539
ཚེ,401386
ཁུ,82812
བླུ,26792
སྣུ,13611
ལྕ,60536
་ི,353
ལྟུ,73148
དྭ,52754
ཁྲ,77524
ཁེ,26145
སླེ,10747
སྣོ,77557
ཏི,248401
སྐྱི,28686
རྒ,41992
སྤོ,106551
ཕྲ,185229
ཕོ,141152
ཅེ,327818
རྐྱ,42837
ཏཱ,22541
ལྡོ,71802
གླི,52540
སྡི,73139
སྒྲོ,112231
མྱུ,56710
ནྡྲ,10098
ཇོ,116872
སྨྲ,162745
ཁྱོ,166149
སྟུ,16523
གྲེ,97051
སྔཽ,239
རྗཻ,261
ཎྜ,35206
སྩ,58718
སྟི,34516
སྤྲི,47070
དྡྷཱ,2396
དྷ,61761
རྨཱ,6787
སྶ,656
ངྒྷཱ,48
ནྟྲ,3171
བྷྱ,10125
ཿ,257714
རྦ,86553
ཐཱ,29036
ཨ,225665
རྒྷཾ,10828
པྲ,54399
ཏཱི,14840
ཙྪ,18571
པཱུ,11917
གྷ,16021
སྥ,4911
་ྃ,2651
ཧཱུ,4099
པཱ,28337
དྱཾ,2887
ཥྤེ,6552
ངྷཱུ,124
ཨཱ,191160
ཀེ,16467
ནྡྷེ,5520
ནཻ,4649
བི,59608
དྱེ,994
ཎྜེ,1615
ཎི,20365
སཾ,13897
ངྔྷ,292
ཀྵེ,2252
ཏྲ,23851
ལི,72167
ཛྙཱ,19737
ནཱ,36611
ཝེ,3236
ངྷ,1551
རྨ,52029
ཧྲྀ,1351
ནྟོ,349
ཁཾ,10743
སྭཱ,75648
ཧཱ,154335
ཀྲོ,25032
རྡེ,11330
ལྷུ,87795
ཁྱི,78068
ཤཱ,52279
ལྷོ,51608
ཕེ,94450
རྙོ,5176
རྨོ,26150
གྱེ,62679
སྒྱི,3535
སྐྲ,44630
སླུ,24938
རྫུ,49642
སྨ,91104
ཀྲེ,5356
རྙི,16525
ལྕོ,4032
གྱོ,25388
ཧ,110607
ཁྲེ,7301
བྱཽ,77
དྨོ,5841
ཕྲུ,73980
བྷྱོ,23716
ཤྭ,16299
ཨུ,42689
ངྒ,14554
ཨི,42750
མཾ,6904
ཧྞེ,777
དཾ,6287
ལིཾ,7289
རྔ,30561
མྦྷ,9887
ཀྃ,784
ཌཱ,17900
ཁཱ,20199
ཧི,36440
པཾ,8491
སྨིཾ,171
བྷི,33051
ཥེ,4807
རྨི,43949
ཁྲོ,151153
བེ,85234
ལྃ,1559
རྐེ,2877
རྐོ,4390
རྔུ,9399
ཊ,87890
བྷུ,8024
སྭ,26388
བྷཱ,19048
ཝ,57680
ནཱི,15694
ཛྲཱི,1141
ནྡྷ,15779
པྃ,2646
རྃ,4426
ཀྵ,24302
གྷཱ,1800
ཥྚཱཾ,398
ཀཱི,14009
གྷྣ,852
ཀཱ,45664
ཝཱ,20025
ཙི,32968
ཏྟ,16321
ཏྐ,410
ཛྲོ,442
ཥྛ,10418
།ྃ,334
ཟླུ,14587
བྷཱུཾ,92
མྲྀ,12409
ཨཱྃ,809
སྩོ,27786
ཧྭ,1106
རྡྷ,1432
ཧྲཱི,39282
སྱ,4591
ལྤ,8538
མྦཱ,324
ངྷཱི,64
སྨྲོ,5001
ཨོྃ,971
ཏྲཾ,3269
ལྗ,33971
ཏྱ,3091
ལྟེ,51212
ཀྲི,15975
སཱུ,2433
གཱ,6065
ཧོ,59425
ཁྱུ,44233
གྲཽ,190
ལྕེ,29677
བཱི,4731
ཏྤ,10096
ཡཱ,11184
སྟྭཾ,6524
ངྔྷི,115
ཛྃ,657
བཾ,19199
ཀི,29062
སྠ,552
ནཾ,5092
