Stack, Frequency
ཆོ,298078
ས,8407527
་,47644511
ཀྱི,739556
ད,6187123
བྱི,79494
ང,4849673
ཤི,132331
ན,5124043
ཏུ,264748
རྣ,677977
མ,3891831
པ,5880993
ར,3934628
ག,5704794
ངོ,295488
འ,2445235
བྱུ,178836
བ,5728832
བྱ,1143764
ཆུ,166922
གྲུ,96953
ཡི,807076
ཏེ,397646
།,6217262
དེ,1358666
ཉི,709683
རི,266972
གྱི,429099
ཅི,348915
ཤོ,12551
ནི,1178184
ནོ,264891
 ,2157286
གི,374792
ཇི,205342
ལྟ,375563
རྟེ,94718
ཞེ,834624
མེ,440008
འི,2195719
ཕྱི,475414
རོ,283043
མོ,179789
འོ,741027
ཡོ,290733
ཛི,89972
དུ,879362
གྱུ,385360
ཞི,593296
ཀྱ,150513
ལ,2862842
དོ,545654
ཡུ,73029
ཀུ,126760
རྫོ,59292
དི,337967
ཡ,553690
མི,533455
ཁ,187688
ལྡི,1257
ཏ,174688
རྒྱ,298222
པོ,553123
ཟླ,51929
གོ,193596
བྲ,142062
ཟེ,37902
དྲ,89957
ཅེ,101910
གྱེ,9365
གུ,53654
སོ,670489
སྔ,139913
ཏོ,129679
སྟོ,137621
སྣ,105766
རུ,70798
སྟེ,320331
རྟ,109128
ཞ,254154
སྨོ,50386
ཚ,217963
ཅོ,96332
ཉེ,121619
བྱེ,357891
ལྡ,170117
རྒྱུ,148113
དྲེ,15090
ཐེ,32775
ཚོ,142175
ལེ,72768
ཤེ,335994
ཐ,402940
ཐུ,119098
ཕུ,51806
སུ,579567
ཁྱ,73112
སྐ,114894
ཐོ,203599
སྲི,46398
སྦྱ,47299
བུ,299686
ཅ,463297
ཚུ,91524
ཚེ,74731
སེ,283541
སྤ,44008
ཙ,80001
ཆི,27394
ལུ,102274
༄,3505
༅,6055
བོ,164830
དྷི,5014
ཏྭ,3297
ཙཱ,3081
རྱ,1760
ཨ,66544
ཏཱ,10924
ཀཱ,14020
སྤྱོ,70969
ཇུ,68702
ཇ,11627
སྒྲུ,83250
ནུ,56396
སྒྲ,58368
སྤྱི,22685
ཁོ,196389
གྲ,57610
སྙ,44005
བྲེ,36015
རྟོ,114944
ངེ,85811
སྐུ,80311
ལོ,120559
ཛུ,8686
ཉོ,39998
རྩོ,29004
སྒྱུ,25765
སླུ,4788
བླ,52622
སྦྱི,48991
སྲེ,23100
ཆ,158523
ཕ,141772
ཤ,147375
སྐྱོ,36558
སྤྱ,25548
སྐྱེ,216668
རྩ,58833
སྦྲ,5730
པྲྀ,1198
ཎཱ,1971
ཏི,70510
བླཱི,5
པྲི,1258
སྒྲི,14963
བླི,77
བྲྀ,2863
བྷྲཱྀ,24
ཀ,136885
དྲཱྀ,51
ཇོ,16561
དྲྀ,2299
ནཱ,11663
ཛྲཱྀ,57
ཉ,102661
ཛྲྀ,77
ནྲྀ,660
ཎྲྀ,21
གྲྀ,2466
ཛྱ,539
རྗོ,97495
ཕྱེ,29414
ཁྲ,10527
སྔོ,45236
གྲོ,124073
