Stack, Frequency
བྱ, 130832
ང, 1445410
་, 11242697
ཆུ, 50460
བ, 1411197
ཞི, 170158
མྱུ, 3314
ར, 856308
དུ, 233868
རྟོ, 21843
ག, 1687541
ས, 2147128
པ, 896830
༣, 5796
གྱུ, 51414
།, 1317559
སྔོ, 15986
ན, 1394605
སྤྱོ, 16949
ད, 1565690
ཚེ, 26910
ནི, 115133
རྒྱ, 131646
༧, 5224
 , 1490061
འ, 684259
བྱུ, 49892
ཚོ, 72627
རྙེ, 4225
རྣ, 93367
མ, 1045415
ཟུ, 29780
ཅི, 77825
༢, 8585
མེ, 97696
ཏོ, 25621
བྲ, 34883
ལྡ, 29153
སྨ, 22337
ཚ, 93706
ལ, 774148
སྐྱེ, 43525
བྱེ, 79615
༡, 13219
༽, 3696
ཐོ, 63895
ཡོ, 97959
ཏ, 51702
དེ, 233392
ཆེ, 95586
སྡུ, 21095
དི, 59845
སེ, 68176
ཅ, 92596
ཀུ, 28454
གྱི, 122978
ཕྱི, 56547
ཤེ, 58369
ཀྱི, 169618
ཕ, 39944
རོ, 29991
ཏུ, 50941
སྟོ, 37731
འི, 474504
རྗེ, 50176
སུ, 143026
ཐ, 97584
ཉི, 115766
མི, 147728
ལྟ, 75089
༨, 3721
དྭ, 4213
བླ, 22478
ཏེ, 54050
རྩོ, 15291
ཀྲི, 1035
བུ, 82781
ཞེ, 78784
ཁོ, 47399
༩, 4771
༦, 3914
ལོ, 55991
གོ, 93084
ཆོ, 81863
བྱི, 21523
ཐི, 8277
སྔ, 28128
གེ, 26415
སྤྱི, 18105
༥, 4731
ཧོ, 4094
ཟླ, 15863
ཡ, 109961
སྤོ, 5124
ཕྲེ, 5421
ཡི, 147427
བྲུ, 7960
སྐུ, 27420
ཕེ, 12644
པོ, 142229
ཡུ, 33934
སྐྱོ, 16870
སྒྲོ, 7910
སྲ, 9581
ལྕ, 6813
༤, 4254
ཤ, 58745
སླེ, 2597
ཐུ, 53036
གྲོ, 43674
ཙོ, 13315
ཚུ, 35157
༠, 6250
གློ, 4994
ཆ, 63977
ལྷ, 38997
ཅུ, 33470
དྲུ, 17356
ཁྱི, 7734
དོ, 114954
ཁ, 105797
ཞུ, 48406
སྒ, 5160
ཁྲོ, 9288
རུ, 31516
གྲྭ, 5361
ཙུ, 9728
ཀྱ, 41490
ཛ, 24473
སྡི, 3551
གྲུ, 30596
གླི, 7358
གི, 109966
ཕྱོ, 20552
ཐེ, 13415
ཟི, 15710
ཟ, 49609
ཙ, 42303
བོ, 79171
ངོ, 58741
རྟེ, 24502
ཀ, 63690
ཁྱོ, 7940
ཤི, 44330
རྒྱུ, 67977
ཞ, 66774
གྲ, 32254
གྷ, 551
ཉ, 32712
སོ, 123199
གུ, 28822
གླ, 6801
སྟ, 37837
ཅོ, 27089
ལྔ, 21260
ངེ, 17895
རྨ, 8125
རྫོ, 11237
རྩ, 30977
ཇི, 26642
པེ, 16706
སྐྲུ, 3795
ཅེ, 17261
སྨོ, 6551
ཪ, 3218
རྒོ, 4810
ཛུ, 4756
ཁྲུ, 12353
སྙ, 15217
ཧྲུ, 295
འུ, 16210
ཀྲུ, 4194
ཎ, 2311
རི, 115203
ཁྲི, 23809
ཨུ, 3271
སྟེ, 45565
རེ, 43145
ཞོ, 9015
ཟེ, 20608
སྤྲ, 2289
སྲི, 19780
པུ, 5453
སྡ, 4418
མོ, 50939
ཊ, 2889
སྐ, 42970
ཇོ, 10773
སྲོ, 13918
ཤོ, 12310
གྱོ, 3546
འོ, 65043
ཚི, 20650
དྲི, 15044
ཕྲ, 13423
བྱོ, 15064
ཀློ, 2443
ལྷོ, 4702
ནུ, 19400
ཁུ, 17386
ཆི, 14258
རྫ, 5188
དྲེ, 8319
ཇུ, 21133
ལྟོ, 5044
གྱེ, 4461
ཁྱེ, 12931
རྗོ, 16241
ཕོ, 12783
དྲོ, 4654
ཀོ, 13306
ཧུ, 1136
ནོ, 29609
གྲི, 7762
ལེ, 35464
ཕྲུ, 5600
ཛི, 25397
སྤུ, 4850
རྟི, 621
ཕྱ, 18346
བྲི, 10829
ྋ, 523
ཏྭ, 346
ཛོ, 9172
བེ, 7010
ལུ, 48183
ཁྲ, 10289
ཕི, 393
བྲེ, 13629
པྱ, 7780
ཨ, 19265
ཟོ, 11278
རྡུ, 3539
སྣ, 30714
བློ, 17270
ཁྱ, 22050
སྒྱུ, 10429
སྐོ, 19890
སྤྲོ, 7462
ཏཱ, 1883
སྙི, 16180
རླ, 7766
སྒྲ, 13155
སྲུ, 7568
བྲོ, 3981
སྒོ, 24017
རྟ, 34884
སྒེ, 1358
རྫེ, 283
ཙེ, 1312
