Stack, Frequency
བུ,46064
།,846572
 ,640940
རྣ,107335
མ,594168
་,5912094
གྲ,8654
ང,701868
ས,1069967
དེ,183253
ན,643818
འ,377242
དུ,126495
བྱེ,43318
ད,898871
བྱ,119911
ཆུ,28887
བ,651958
སེ,43902
པ,709117
ཞེ,52029
ལྟ,50262
མེ,76528
ཅི,55203
མི,115639
ག,739306
སོ,76608
ར,517688
ཤེ,52401
ནི,78106
སྟོ,45515
སྟེ,39845
འི,196622
ཕྱི,55305
རུ,8276
ལ,325838
ལྡ,46987
རྐ,3143
གྱོ,1403
ཟ,21780
ཐ,52699
ཏེ,52271
ཀྱི,108674
ཁོ,15668
གི,55164
ཡི,74241
ཟུ,14260
འོ,58354
སུ,80163
ཆོ,34520
ཐོ,32721
ལྷ,20111
བླ,7538
ཚ,30696
ཉི,87195
དོ,60710
ནོ,18623
སློ,33030
གུ,6236
ཅུ,9492
ལྷུ,2581
ཟེ,10506
ཅ,58687
ཀྱ,24569
གྱུ,52147
ཆི,13231
ཨུ,2109
ལི,2111
ཡོ,43725
ཇི,24136
ཡ,51817
གེ,49569
རྙེ,2940
ཏུ,52531
གྱི,65444
ཚོ,22776
ལྕེ,3974
རེ,18096
རྐྱེ,6020
རོ,43496
ལུ,11317
སྡུ,7567
སྔ,9697
རྟོ,7551
གོ,24797
སྙོ,4752
ཇུ,6234
ཅེ,17452
ཆེ,32749
པོ,70082
ཕ,36537
སྤྱོ,12285
ཚེ,19499
རྒྱ,46764
དྲེ,2434
ཅོ,31758
རློ,4500
ཤི,26700
གྲོ,17540
སྔོ,6458
པྱ,576
སྐྱེ,23575
ཁྱེ,17550
འུ,5835
ཞོ,4185
ནུ,6881
སྨ,3100
སྦྱོ,9178
ལོ,12040
ཤཱ,5020
དྭ,4971
ཏི,9396
སྲེ,2379
ཀུ,13374
རི,28659
དི,50001
སྐ,13725
ཞི,72532
ཁྱི,8249
ཤོ,1962
སྤྱ,3709
དྲ,9031
རྒ,2488
རྡོ,4285
ཕྲུ,2683
བྲི,1723
༑,14555
སྒོ,9861
སྤུ,1169
སྦྱི,7235
ཕྲ,3270
ཏ,14425
ངོ,31101
ཟི,3741
ཀྲི,648
ཙུ,9319
ཉ,15231
ཙ,8605
སྲི,5265
ཤུ,2215
རྩ,6111
ལྔ,6691
སྨྲ,19994
ཁྱོ,9195
ཐུ,10759
བོ,20839
ཁུ,1685
ཆ,16633
ཀ,21171
སྤྲུ,1031
མོ,23846
དྲུ,6656
སྩ,9138
ཏོ,15833
བྱུ,16865
མྱོ,1646
ཞ,23158
ཁ,29798
ཕྱོ,5636
བྲ,17133
བྲེ,1825
ལྟུ,6565
སླ,11038
ཛ,5710
ཟླ,3920
སྣ,10046
རླ,1368
རྩི,1944
སྒྱུ,3206
ལྗོ,981
ཉེ,16861
རླུ,2148
རྨི,846
སྡི,1999
རྗེ,13442
ཀོ,2141
ཡུ,5865
ཕྲི,779
ཕྱ,5285
ཕུ,4655
ངེ,5223
བྱོ,9963
ངུ,2076
ཕོ,3463
སྣོ,1146
སྙ,9121
ཟོ,4816
ཚི,5923
སྟ,8489
ཙི,220
རྩེ,2418
རྟེ,9314
ཀྵེ,25
ཏྲ,274
པཱ,132
སྤ,3593
གྲུ,5437
ཞུ,10656
གྱེ,1108
ཛོ,998
སྙེ,6982
སྨོ,4180
ཤ,8808
སྒྲུ,3255
ཚུ,13784
ཁྲི,5734
རྫུ,2410
དྲི,6451
ཐེ,3387
སྐུ,4168
ཉོ,3028
ཛི,7187
རྒྱུ,8332
ལེ,8758
རྫོ,9194
པེ,2688
མྱ,4178
བྱི,8679
སཱ,469
ཉུ,1379
རྩོ,4597
ཕྱུ,2750
སྤོ,3468
ཀླུ,1890
སྒྲོ,1160
ཇོ,1335
ཝཱ,448
ཛེ,1775
གླི,788
སྲུ,3286
བློ,2001
སྡེ,3369
སྨྱུ,104
ཕྲོ,1043
རྗོ,4652
སྤྲི,898
གླ,2106
དྨོ,325
ངྒཱ,685
བེ,3442
དྲོ,961
སི,1248
ཀྲུ,884
སྣུ,426
སྤྱི,772
སྲ,1793
རྐྱ,794
ཧཱུཾ,1369
ཨཱ,329
ཿ,372
ཨོཾ,1108
སྩོ,553
ཤྲཱི,106
ཛྲ,303
ཧེ,499
ཀཾ,83
ཊ,1078
རྟ,11852
ཐི,1153
ཕྱེ,3064
བྲོ,947
ལྡེ,288
སྐོ,3243
སྒྲ,5019
རྩུ,282
སྟི,984
སྐྱ,2376
སྦུ,267
མུ,3476
ཨ,1550
ཧ,1061
སྡ,1734
སྨྱོ,500
སྙི,3675
ཀྲེ,356
གློ,1144
ཏྲོ,46
སྦྲུ,466
སྦྲ,600
པྲ,338
སྨི,2099
ཀློ,663
ཀཽ,2800
ཀླ,693
ཁྲོ,1833
སྨྲེ,148
བི,525
ལྕ,702
ལྟོ,765
བྲུ,932
སྐྲ,1733
སྐྲོ,186
ཁཱ,32
ཁྲུ,2694
གླེ,1476
ལྐུ,236
ཁྭ,115
ལྷོ,846
ལྗ,342
རྒུ,344
ཛུ,531
ཟླུ,144
རྟི,140
ངྒེ,276
༏,724
ཀཱ,329
རྡ,905
སྦོ,1527
རྩྭ,749
རྡུ,1408
སྲོ,3459
བྷ,443
དྷྭ,22
རྡེ,397
ཀཱི,29
གྲེ,460
ལྕི,505
ཕེ,1611
གྲི,2480
ནེ,386
ཙོ,1454
སྟུ,210
ཙེ,164
སྐྱོ,2502
རྐུ,1333
སྡོ,1832
རྫ,1351
རྔུ,194
སྒྲི,421
གྱ,741
ཨེ,389
ཎེ,20
དྨ,1343
ཁྱུ,620
གླུ,329
ཁྱ,3325
སྐྱི,364
སྤྲ,223
མྱུ,1059
ལྒ,12
ཀྱེ,1324
རྙ,1040
ཡེ,2192
སྤྲོ,779
རྔོ,384
ལྡི,222
སྐེ,229
མྲ,220
ཪྻ,155
དྷ,905
ཛྙཱ,60
ཎི,84
ཏྱུ,9
སྠཱ,13
སྦྱ,2461
རྒོ,762
ཁྲ,1226
ནྟ,82
དྡྷེ,18
བྷྱོ,22
ཧཱ,652
ཎྜ,125
སཱུ,67
རཱ,183
བྷཱུ,22
ནྣི,9
རྨྨ,3
རྨོ,488
རྭ,108
རྨྱ,28
སྨྲོ,317
ཟློ,659
རྞ,39
དྭཱི,5
ནྡྷུ,34
སྨྲི,197
ཥེ,20
ཀྐོ,3
དྡེ,1
སྨྱི,53
ཀྱོ,95
སྒེ,86
༄,430
༅,441
ཕྲེ,1157
སྨྱ,86
ཛཱ,96
བྷཱ,52
ཥི,15
ཀྲ,557
བཱི,100
ཧི,231
ཤྩ,8
བཱ,97
ཀྲཱི,1
ཏཱ,130
ཀྵ,143
ནཱ,206
ཤྱེ,2
སཾ,67
ཇ,689
སྙུ,244
རྨེ,389
མྦུ,259
ཁྲེ,162
ཀེ,190
ཞྭ,49
ལྡོ,733
