Stack, Frequency
ཡ,555288
ན,4976506
་,49958214
ལ,2544226
ག,5551799
རྒྱ,508348
མ,4515634
ཚོ,177054
ཐ,450584
ས,8394339
ཅ,552923
ད,6610219
ང,5442575
ལྡ,333372
པ,5108118
།,6201993
ཟུ,119626
ཀྱི,896311
སྒོ,74858
ཆོ,379355
ར,3765547
བ,5344360
རི,276740
མེ,383108
འི,1634515
དོ,385028
གྱི,462898
སྒྲོ,14594
ཞེ,286969
བྱ,860655
ཞི,614933
གི,349642
རྡུ,14619
ཤི,207493
ཏུ,361203
ཕྲ,47106
སྙེ,46833
པོ,640950
སྙི,52407
དུ,955903
ཿ,31960
རྣ,712641
མི,492209
རུ,59059
བྲི,18797
སྔོ,43455
སྐུ,51006
སྐེ,1681
རྗེ,159328
ཐོ,254675
ཞུ,85068
ཀ,148979
ནི,640017
ཁ,232673
སྣ,100634
ལྔ,47766
ཅི,366284
རྒོ,6341
༺,465560
ལི,483831
ནེ,471153
༻,465559
རྩ,59501
སྲོ,24995
ཅུ,87975
རྟོ,63517
འ,2939366
ཁོ,142635
གྲུ,64059
བུ,351687
སུ,534489
ཐུ,87700
བྲུ,8575
ལྷ,165336
རྡོ,79594
སྒྱེ,389
གོ,151485
ཞ,173052
རྫ,9769
ཤོ,14118
ཙ,74001
ཆ,134173
ཤེ,471303
རྟེ,107662
ཡུ,58603
སྔ,96942
དྲ,81425
བྲ,110280
སྟོ,276620
ཛི,87291
སྦྲེ,547
ཧཱ,41779
དེ,1383694
ཏི,91129
ཛ,60145
ཤ,88738
ཀྃ,909
ཧཱུྃ,39478
རཱ,9706
གྲ,85435
བོ,140101
རྦ,13260
སེ,509908
ཧཱྃ,387
མུ,39330
ཨ,34325
མཱ,7278
སོ,436223
ཇི,228785
ཡི,505395
དྲི,50567
ཟླ,41686
རྟ,90383
སྐྱེ,195423
སྟ,82868
ཕོ,25037
འོ,411289
ཅོ,233871
བྱེ,309050
བྱི,85452
ངོ,236178
ཕྱུ,24178
ཕ,232150
བྱུ,145981
སྲེ,24933
ཉ,109827
ཆེ,344436
ཕེ,12132
མོ,195840
ནྲྀ,180
ཐི,11097
སྒྲུ,38137
སྨུ,120
ཁྲ,14047
ནོ,143688
ལྟ,360736
གེ,214860
སློ,114874
དི,373052
ཉེ,89167
ལེ,79329
ཕུ,45288
བྱོ,75588
སྟེ,245313
པེ,21905
ཉི,477437
གྱུ,425556
བླ,65710
ཏེ,333901
ཉུ,5296
གྱོ,7384
ཀྱ,194487
ཆུ,314865
རྐ,18557
ཕྱེ,23283
རྩྭ,3386
རྨོ,5982
གྲོ,144271
ཚ,244482
སྤོ,31549
ཚེ,124114
སྨོ,31413
རྐྱོ,150
ལོ,122682
མྱི,183668
མྱེ,130956
རོ,272164
རེ,84988
ཕྱ,75324
ཅེ,99921
སྦྲོ,212
སྐ,113610
ཞོ,30821
ནུ,50015
ཟ,156970
སྤྱོ,114779
ཇ,20509
སྩ,53039
སྦྱོ,47677
ཏོ,136871
ཙུ,43080
གླི,9762
ཏ,147314
མྱུ,12154
སྙུ,1937
སླ,58642
རྫོ,90808
རྔོ,1863
རྩོ,41051
ཚུ,98092
དྲུ,44530
སྲི,39705
རྒ,13842
སྦྱི,64700
ཕྱི,322882
ཁྲི,54556
ཟོ,33698
ཁྱོ,55859
ཁྲུ,22314
ཇུ,49889
སྤ,27097
སྷོ,2696
ཡོ,306550
ཀུ,153800
དྲེ,22416
རྒྱུ,73383
ཁྱེ,88853
ལྕེ,16582
ལུ,98999
སྒྲ,42333
རྐྱེ,25015
རྫུ,19650
ཕྲུ,28599
སྐྱོ,26398
ཤུ,21520
སྡེ,20460
སྐོ,24608
ཀོ,21382
ངེ,61098
ཇོ,12607
ཕྱོ,52394
སྡུ,57519
སྦྱ,27653
ཉོ,27650
བློ,29412
སྨྲ,94612
ཨུ,11076
ཟི,39500
རྗི,6414
རྙེ,21375
སླུ,2838
ཕྲོ,10362
སྐྱ,13650
རྐུ,4681
སྲུ,28442
ཆི,80575
དྲོ,5513
ཕྲེ,13418
རྩི,14709
སྤུ,7965
སྤྱ,34759
ཛེ,17293
པུ,16727
ཁྱི,37354
རྩེ,26271
སྤྲི,13010
བཻ,4094
དཱུ,2934
རྱ,5733
སྨི,20283
སྒྲི,10252
ཀྱེ,15308
ཐེ,38847
འུ,32422
གུ,52681
ཚི,60773
ཁྱ,34177
སྡོ,10766
རླུ,15652
ཅྭ,5650
ཙོ,14021
སྤྱི,6877
སྨ,20304
སྣོ,9195
ཎ,10915
ཌ,3272
ལྡི,4248
གཱ,6517
ཀླུ,25206
དྷ,24549
དྷི,7110
ཡེ,54684
སྭཱ,25272
བྷ,13794
ཨོཾ,39492
ཛྃ,565
ཏཱ,6590
ཧ,22953
ཊ,28779
ཀྵ,5739
ཨི,3229
དྷཱ,4435
སྤེ,1449
ནཱ,9518
ཧྭ,188
ཧོ,4079
བི,22016
ཥ,4804
ཧི,7715
ཙི,6474
ཧེ,7156
དྷེ,2425
ཏྲ,6056
བྷུ,2042
བྷེ,930
པྲ,11063
ཎི,8166
ཥྛ,1745
དྷུྃ,32
ཀི,6510
བྷི,3586
སི,13246
རྦྦ,8959
བེ,25239
སྐྲུ,562
ཀེ,8864
མཱི,587
ཧཽ,51
གྷེ,224
དྲཱ,894
ཨཱི,434
ཨཱ,12645
བཱ,5906
ནྀ,276
སཱ,4570
ལཱ,2621
ཀྵི,842
བྷཱུ,1068
ཨཱུ,299
ཧྨ,458
ཎེ,1003
དྷོ,433
ཥྞ,342
ཀཱ,9356
ཧུ,5223
སྱ,1934
མྱ,41184
དྷྃ,202
ཛྷ,235
ཛྲ,22035
ཉྩ,1618
ཏྣ,1922
ཡཱ,3345
རཻ,59
ཁེ,4962
ཧྲི,1340
ཨེ,4937
ཧྱེ,575
ཏྭ,2299
ཛྭ,2868
ནྃ,1038
པྲི,835
ཕྲི,3965
སྙ,58246
ལྡོ,11870
ལྟུ,21642
ཛོ,8403
སྒྱུ,27208
ཀྲི,4192
གླ,12050
སྡ,13369
ཇེ,3116
སྤྲོ,10624
བྲེ,11686
སྤྲ,2878
སྒུ,1015
རྨ,8429
རླ,17991
ལྗ,2283
ཙེ,2316
སྲ,18671
ལྟོ,7241
རྡ,5828
ལྗོ,6063
སྦྲུ,4216
ཤཱ,31343
ཟེ,51840
གླེ,6262
ཁྲོ,22148
གཽ,3965
ཀཽ,5085
ཁུ,13046
ཀླ,4710
དྭ,16060
ཀྱོ,308
སྐྲ,12334
ལྐུ,882
རྨུ,805
ཐཱ,12745
སཱུ,1430
པཱ,9588
ཋ,573
སྙོ,31273
གྲི,14863
རྟུ,5104
གླུ,4286
སྒེ,1011
ཀློ,4825
སྦོ,4286
ལྷུ,13827
སྤྲུ,11373
རྗོ,50041
སྡི,18622
ཤྱ,424
ལྕ,6990
ཀྱུ,2747
མྱོ,12436
ཟློ,8176
ནྱ,2140
རྫི,4249
བྲོ,5167
ངུ,14060
ཀྲུ,5796
༈,532
ལྷོ,6707
ཤྭ,3542
ཀྲེ,2412
༔,204
རྣཾ,1212
ཐཾ,1135
རྡེ,2126
འཾ,109
ཁྱུ,5025
སྩོ,4498
མཾ,252
རྱཱ,731
ཏྱ,1065
རྞ,411
གྲེ,3211
རྙ,6893
སྃ,3394
གྷ,3864
ཀྵཱ,227
རྃ,1405
པྲཱ,428
ཛྙོ,102
ཧཱུཾྃ,20
ཪྠ,136
ཤཱི,1062
གྷྲཾ,64
སྦ,6027
ཀྲ,8032
༄,1568
༅,1695
ཧྲྀ,714
ཡཾ,208
ཀཱི,1980
ཀྲོ,4554
ཎྜ,2165
མྦྷ,803
ནྡྷ,1794
སྟི,8694
ནཱི,2976
སཽ,385
ཧཾ,300
པི,3913
ཪྟྭ,2
ཏྠ,102
ཪྟེ,8
ཪྨ,42
དཾ,242
ཙྪ,2771
ཏྟ,1328
ལྦ,127
མྦ,196
ཧཻ,55
ཧཱུཾ,499
ཏཾ,210
ཏྟྲ,41
ཛྙ,248
ཀྲྀ,1313
ཏྲི,2072
ནྟུ,754
ནྟི,433
ངྒ,365
ཤྩ,705
དྃ,994
གྷྲྃ,284
ཛྙཱ,3588
ཊཱུ,8
ཎྜེ,183
ཪྡྷཾ,2
ཛྲེ,915
བླུ,3882
རྣོ,2356
དཱ,3159
ཝཱ,621
ཝ,3705
རྡྷ,238
ཏྭཱ,2090
སྨྱི,2614
ཛུ,9312
ཧཱུྂ,329
གྲྀ,1619
ཧྞ,1152
ཧྞཱ,264
དྱཱ,909
ཛཱ,2441
ཥཱ,867
ཡྃ,1249
སྐྱི,2910
ལྤ,2242
རློ,13301
སཱི,1552
རྒུ,1016
སྣྲོ,149
སྭ,2493
བྷཱ,2273
ཥྞཱི,390
སཾ,846
ཥྛི,493
ཥྛཱ,263
ལྕི,2332
སྨྲི,1115
རྐྱ,4811
དྨོ,534
ཧྣ,276
ཙྪེ,269
ཤྕི,32
དྱ,3408
སྐཱ,180
ཤྩི,192
སྟྲཻ,251
དྷྭ,460
བྷྱ,5908
སྟུ,2089
སྦུ,1775
ཥྚ,1307
པཱུ,2359
