Stack, Frequency
མ, 7747035
ཐུ, 388439
ན, 9368541
་, 77319393
པ, 7282930
ར, 6048923
བ, 10127584
ཞུ, 261181
ག, 11384829
ས, 15564995
ལ, 5712672
།, 10212445
 , 7458573
སྤྲུ, 60091
འི, 3526620
ནོ, 237647
ད, 10769062
ཛེ, 30793
ཕྱ, 160383
ཡ, 748790
ཀྱི, 1269207
རྡོ, 201923
རྗེ, 423905
ལྕ, 32592
ཀྱུ, 9051
ཐོ, 433745
མེ, 765781
ཏུ, 374731
འ, 4808559
གྱུ, 387268
དེ, 1719850
ཤ, 322716
རྩ, 175712
ཏེ, 431001
ཕྱོ, 121458
ཡི, 941327
སུ, 1162468
ཕུ, 135520
བུ, 585599
མི, 889289
གུ, 157703
གྱི, 919752
ཤི, 286391
ཆ, 400399
ང, 9756046
གི, 696315
ཀ, 337166
ཉོ, 50629
ཅི, 596655
ཅེ, 124466
སྒོ, 221362
ཙ, 205086
བྱ, 952487
གེ, 238099
རྣ, 786644
སྤྱི, 88842
བོ, 337707
རི, 648705
རྐ, 28705
ཐི, 69496
དུ, 1708957
ཟུ, 219352
ལུ, 322743
ཡོ, 520819
མོ, 378715
ཟློ, 31695
ཙོ, 66081
བྱེ, 486760
༑, 129185
ཙུ, 62785
ཏོ, 157630
ཁོ, 378800
ལོ, 322062
སྒྱུ, 66624
ཕོ, 74358
ཀུ, 272287
ཞ, 457171
ཕྱི, 476521
ཟི, 112661
ཆོ, 750309
རྟེ, 193678
སོ, 951596
རྩི, 69011
རོ, 217969
ཉི, 960831
སྲེ, 38719
ཕྲེ, 34586
སྔ, 237426
ལྷ, 289116
རྭ, 7828
ཆུ, 300947
རླུ, 60151
དྲ, 228027
གོ, 550561
སྒྲུ, 171805
ཐ, 767245
ཞི, 1140010
འོ, 572511
རྐྱེ, 45799
སྙེ, 52976
ཁྲོ, 66736
ཅུ, 221704
བྱི, 178191
ཁུ, 54219
དོ, 848922
བྱུ, 323967
ལྟ, 549704
སྲུ, 57962
ཀོ, 75666
ནི, 866473
སེ, 502610
རུ, 151130
རྟོ, 189353
རྒྱ, 848626
ལྟོ, 29802
ཁྱ, 166347
ཁྲ, 44951
གྲ, 183300
ཞོ, 46522
རྩོ, 73157
ཚུ, 243771
ཆེ, 631730
པོ, 1082779
ཚ, 531557
ཅ, 765066
༈, 23932
ངོ, 459722
སྦྱོ, 103760
ཏི, 74846
ངེ, 137734
ཛི, 206899
ཆི, 84046
སྐུ, 284550
ཁྱེ, 113505
སྡུ, 161157
སྐྱེ, 341930
ཕ, 249730
སྟ, 272244
སྣོ, 34800
ཡེ, 172887
ཤེ, 517688
ཁ, 517427
སྟེ, 358153
དྲུ, 126365
ལྡ, 232589
ཇོ, 60246
ཡུ, 218054
ཇི, 219530
སླ, 80297
སྐ, 248335
སྣ, 288370
ཟེ, 111181
བླ, 215497
དི, 437969
རྒྱུ, 421091
བྲ, 270958
མུ, 51147
སྐྱོ, 101977
ཐེ, 91829
པྱ, 23332
སྤེ, 16908
ཀྱ, 280859
རྫོ, 141063
ཞེ, 591717
སྡ, 29974
སྙ, 89877
ཕེ, 64151
ཏ, 277836
ཕྲོ, 44702
སྦྱ, 86442
སྟོ, 314281
ཕྱེ, 52301
ཟ, 368036
ནུ, 118665
སྤོ, 41183
གྲུ, 260868
ཚོ, 421153
ཉ, 256651
སྲི, 112172
དྨ, 45762
རེ, 195977
ལྟེ, 12496
དྲེ, 61823
ཁྱོ, 79052
ཉེ, 176753
ཤུ, 53408
རྩེ, 85154
ལྔ, 170786
སྨི, 39579
གྲོ, 348554
སློ, 143072
ཇུ, 122644
ཕྲ, 90389
ཨི, 1373
བློ, 111313
བྲི, 54002
རྟ, 221578
དྭ, 25175
ཟླུ, 6735
ཚེ, 184292
ཕྱུ, 41498
སྔོ, 101939
རྫ, 48613
ཅོ, 157293
རླ, 69121
ཛ, 161064
སྙོ, 25598
སྣེ, 4060
སྤྲོ, 52838
སྒྲི, 56805
སྙི, 129745
བྲེ, 66835
གླི, 40278
རྫུ, 19661
སྤྱོ, 134070
པེ, 65804
ཚི, 147784
ཇེ, 6332
གྲི, 46363
སྤྱ, 66325
སྒྲོ, 56170
ཇ, 78089
པུ, 30747
སྒྲ, 80719
སྡེ, 79236
ནྱ, 240
ཁྲི, 104297
བྱོ, 130681
སྒུ, 2343
ཉུ, 17357
རྙོ, 2820
དྲི, 112218
གློ, 20164
སྤྲ, 13222
སྣུ, 7316
ཀྲུ, 12598
ཞྭ, 4453
མྱུ, 26976
སྲོ, 57138
ཁྲུ, 81146
སྨྲ, 55284
ཟླ, 104340
རྗོ, 102409
ལྡོ, 27618
ཨོ, 12115
ཨཱ, 3331
སྡི, 36521
སྐྱི, 22453
སྦ, 17534
ལེ, 218130
བེ, 35744
རྙི, 13088
སྐོ, 84379
སྨོ, 54251
རྡུ, 27242
སྤུ, 23392
ཨོཾ, 6964
ཁྱུ, 20553
སི, 21803
མྱོ, 33173
སླེ, 10084
ལྷོ, 25266
རྨི, 21010
རྙེ, 36879
གྱེ, 34475
ཀླུ, 27274
ཧ, 20635
སྲ, 60017
རྒོ, 22133
ལྷུ, 46881
ཟོ, 54698
མྱ, 39535
ལྟུ, 31259
སྡོ, 68573
སྐྲ, 19867
རྐྱ, 18396
སྨ, 60677
ཤོ, 74770
ཧྲི, 2465
ཤཱ, 8746
སྐྱ, 69880
བྲུ, 35087
རྣོ, 8107
རྩུ, 6206
སྤ, 73815
ཎ, 8266
གླུ, 15738
སྦྲ, 11117
ནཱ, 5674
ཛུ, 18657
པྲ, 4503
བླུ, 12283
ཧུ, 3620
ཁྱི, 36145
སླུ, 11771
ཛོ, 56804
སྩོ, 10269
སྩ, 20092
༄, 108845
༅, 108651
ལྗ, 15146
ཉྩ, 279
ལི, 18667
ཧོ, 12986
རྨོ, 12672
ཨེ, 14594
ཝཾ, 2860
ཝ, 8415
བྷ, 4214
སྟི, 8820
ཕྲུ, 37762
སྦོ, 6873
སྨྱུ, 3482
སྐེ, 6222
ཀཱ, 2925
པི, 4226
འུ, 49331
ཨ, 48459
ཚྭ, 4891
སྤྲི, 23629
ཀླ, 10617
རློ, 18824
ལྕེ, 11262
སྒ, 14060
ཁེ, 16717
ལྕོ, 2888
རྗི, 7762
༔, 290097
ནྡ, 1951
སྦྱི, 55530
ཨུ, 8856
ཏྤ, 3013
ཕྲི, 38888
སྨུ, 5497
ཀྲ, 41106
རྩྭ, 6476
རྨ, 23998
རྒ, 27122
གླ, 21900
གྲྭ, 16093
བྲོ, 17258
ངུ, 26587
སྨྲི, 1405
ལྕི, 6484
སྨྲེ, 1114
རྙ, 15200
རྔ, 14715
ཁྲེ, 5268
རྒུ, 6753
སྨྱོ, 4205
གྱོ, 17489
ལྗོ, 12577
ཙེ, 2837
རྦ, 4809
ཀློ, 22465
པྱོ, 12526
སྒྲེ, 4168
སྐྲུ, 7883
ནེ, 5590
བི, 4724
ཤྭ, 1463
སྦྲུ, 9633
པཱ, 1476
ཛྙཱ, 647
ཝཱ, 398
རཱ, 2288
ཧི, 1313
ཛྲ, 3833
མཱ, 2140
སྦུ, 5809
ཥ, 293
རྔུ, 3728
སྒེ, 6390
ཀེ, 3417
ལྡེ, 9717
ཀྱེ, 11827
ཙཱ, 6114
ཎི, 1365
གླེ, 17832
ཧེ, 11035
ལྡི, 6003
ཎྜི, 3969
རྡ, 23182
རྫི, 6939
གྲེ, 39421
རྟུ, 10065
རྐོ, 2605
ཀི, 7708
རྡེ, 6277
ཧྭ, 699
ལྤ, 3168
རྐུ, 8222
དྲོ, 22265
སྟུ, 8298
ཙི, 6107
ཧཱ, 1233
གྱ, 6493
རྨེ, 1703
ཛཱ, 1028
སྙུ, 1910
ཀྲི, 4187
ྋ, 199
ལྭ, 622
སྐྱུ, 8259
ལྐོ, 4405
པྱི, 5146
ཀྲེ, 2677
༽, 5355
 ེ, 8
ཀྲོ, 2623
སྒྱི, 848
ཁི, 199
སྦེ, 1339
རྱ, 541
ཁྭ, 563
སཱ, 1052
རྐེ, 1435
སྨེ, 2357
ཏཱ, 3089
༼, 5006
ལཱ, 846
མཱུ, 51
རྨུ, 2208
བཻ, 703
ཏྲི, 1556
རྦོ, 826
སྤྱུ, 41
ཏྲ, 657
སྦྲེ, 3858
ཀྱོ, 1023
ལྡུ, 1561
ལྕུ, 412
སྤྲེ, 4023
རྔོ, 4659
ཧྲ, 526
ཧྲུ, 641
སྨྱ, 199
སྦྲི, 601
རྟི, 2507
རླི, 845
ལྗི, 958
ཊི, 49
ཕི, 545
ཡཱ, 1420
ཏྲེ, 1037
སྨྲོ, 525
མྲ, 201
ལླེ, 149
ཊ, 1488
རྒྱོ, 527
ཝེ, 452
ལྐུ, 1305
ཌ, 801
ཿ, 863
ཌཱ, 2222
མཾ, 363
སྒྱེ, 345
ཧྲེ, 191
བཱ, 317
ཛྙ, 2
ངྒཱ, 315
སྐྲོ, 261
ལྦ, 138
ལྦུ, 522
རྡི, 259
མྱི, 414
ཟྭ, 129
ལྷི, 251
མྱེ, 830
ལྷེ, 447
སཱི, 13
གཱ, 80
༴, 19929
ལྒ, 322
པྲི, 261
མྲི, 23
སྒྱོ, 203
 ོ, 8
པྲོ, 81
ཙྪ, 142
རྨྱ, 29
དྷུ, 10
སྭོ, 20
སྔུ, 26
རྫེ, 511
ཎྚི, 53
གྭ, 37
པྲེ, 89
ཀྵ, 250
སྦི, 157
࿄, 17
སྨྱི, 52
སྦྲོ, 31
	, 102
བྷཾ, 193
ཐཱ, 24
མྦཱ, 31
ངྐུ, 20
རྔེ, 24
ཤླཽ, 21
ལྟི, 6
༉, 30
རྐྱོ, 53
ཥི, 12
ཕྱྭ, 43
དྷ, 37
ནླྀ, 1
སྭ, 40
࿚, 274
དྷེ, 2
ཡཾ, 3
ཿི, 1
༐, 7
 ི, 6
རྦུ, 19
ཤཱུ, 8
བཱི, 3
ཧྲོ, 10
ཿྩི, 1
ཿེ, 2
྾, 37
སྐྲི, 2
མྺཱ, 14
༹, 3
ཀཽ, 8
དྷོ, 11
ཅྭ, 21
རྒེ, 7
རྨྱོ, 1
རྗ, 1
༒, 30
གྷི, 4
༁, 2
࿅, 4
ཊུ, 2
གཽ, 25
༈༙, 1
༆, 2
༞, 7
གྷ, 3
དྭོ, 3
ཊཾ, 2
ཌོཾ, 17
༜, 4
༂, 1
ཿུ, 1
ལྒོ, 1
ཿྗེ, 1
ཿྲ, 1
ས྇, 1
༏, 2
དྡྷཱ, 1
སྱ, 1
ནྡྷི, 1
སཾ, 1
སཱུ, 1
ཉྩི, 2
རྨྨ, 1
བྷཱ, 1
༚, 2
ཏྲོ, 1
࿙, 5
རྗུ, 2
