Stack, Frequency
ཧཱུྃ,39478
ཧུྃ,5324
སྃ,3394
ནཱྃ,3106
ཧྃ,2545
བྃ,2405
རྃ,1405
ཨྃ,1349
མྃ,1341
ཡྃ,1249
ལྃ,1185
ཎཱྃ,1169
ནྃ,1038
ཏྃ,1032
དྃ,994
ཀྃ,909
ཁྃ,876
ཊྭཱྃ,869
ཐྃ,729
པྃ,686
མཱྃ,664
ཤྃ,637
ཏྲཱྃ,596
ཛྃ,565
སྟྭྃ,489
ཏྲྃ,434
གྃ,398
སྟྃ,398
ཧཱྃ,387
ཧཱུྂ,329
ལཱྃ,323
སུྃ,297
མུྃ,286
གྷྲྃ,284
ཏཱྃ,251
བྷྲུྃ,234
བྲུྃ,229
ཨོྂ,229
ཙྃ,228
ཧྲིྃ,204
ཨཱྃ,204
དྷྃ,202
ཏྭྃ,194
བྷྃ,179
དྲཱུྃ,179
ནྟིྃ,168
ཎྃ,167
ཥྚྃ,166
ཅྡོྃ,166
ཊྃ,165
ཏྲཱུྃ,164
ལིྃ,154
སིྃ,154
ཧྲཱིྃ,138
ཀྵྃ,137
ཤཱྃ,135
བྷྲཱུྃ,131
དྷྭྃ,126
ཝྃ,120
ཥྚཱྃ,118
ཏྲུྃ,118
ཏྭཱྃ,118
ཕེྃ,118
ཀུྃ,112
བཱྃ,111
	,107
ཀྵྨཱྃ,100
གྷྃ,99
དྷྱྃ,98
རྦྃ,90
ཏྱྃ,88
ཏིྃ,85
པཱྃ,84
ཌྃ,83
རྣྃ,82
གྲྃ,80
ཥྃ,76
ཛྲྃ,72
ཀཱྃ,71
ཥྚིྃ,70
རྦྦྃ,70
ཥྚོྃ,70
ཀིྃ,70
ཥྤྃ,68
རཱྃ,67
ཕྃ,67
དྲུྃ,66
ཧྲྃ,66
དྷཱྃ,65
སྭཱྃ,64
མཱུྃ,60
ཪྻ,60
དུྃ,60
དྡྷིྃ,58
རུྃ,56
གྷུྃ,56
ཀྲུྃ,54
ཀྲྃ,54
ཧཱིྃ,52
ཛཱྃ,51
ཕྲེྃ,50
པིྃ,50
ཕྲུྃ,50
ཧིྃ,48
ཛྙཽྃ,48
ཏུྃ,48
ཛྲཱྃ,46
ཧྲཱྃ,46
སྭྃ,44
པྲྃ,44
བྲྃ,42
སྲུྃ,42
ཧྲོྃ,42
